Year,Review
2022,"Gap has always provided great quality, true to size clothing for my picky girls."
2021,I had a hard time paying. I tried several times for couple of days and it said problem occured. Try again later.
2021,I can't log in my account ?? same email address and password I am using but it wouldn't let me log in.
2021,Pretty simple App the only problem is accessing my Cc Account totally different password i guess its for customer protection
2022,its was good the site was easy to use and customer service was very helpful
2023,It won't show my favorites. I went through and like a bunch of clothes and none of them show up.
2022,I love the Gap!!!! Classic style and great fitting jeans.
2021,"I love ???? shopping ??? at Gap I've been doing it for years, not only for my self but Christmas ??? shopping too!!"
2021,super easy to use app... great prices and discount updates too!
2023,"The app never works, always runs into errors and can never checkout."
2021,I like the app because it's easy to check my balance and pay my bills!
2022,"Terrible app doesn't load, to many notifications and links don't work"
2021,"Comfortable to wear and last for a long time, worth the cost."
2022,I love Gap brands. I wish they were more consistent with their sizing.
2022,I have not been to a Gap store since I left Indiana 1983 I was actually looking for another store when I came across the Gap and reminded myself how are used to like to shop there I was not disappointed just like I remembered it
2021,I do like the style and material of clothes are made by 100% or organic cotton.
2022,classic yet trendy looks for tge whole family. love it!
2022,"lightweight, functional shirts for casual everyday wear."
2022,I love Gap clothes for my grandson. Great quality and all super cute!
2022,LOVE GAP for my toddler! Always nice clothes and great deals!!
2021,Always crashing... I miss the old app it worked perfectly
2022,"Nice app. price scanner is handy, but needs improvement"
2022,love the detailes in the app. makes it easy to choose.
2021,love the brand unfortunately I think the pandemic killed the style and variety
2021,The baby clothes are soft and cuddly. The sales are great!
2022,Not working. Continuously refreshing and timeouts
2023,"always crashing. hard to browse, how would you want people to shop on such app"
2021,Crashing every time when I login or try to pay credit card bills.
2022,Great stuff. Good and quality material. Last forever.
2021,I've been loving the classic Gap style since the '80's!
2021,Whats going on?? Why crashing evertime I logged in?. Take action please!!!
2021,Easy to use. Good sales. Excellent products.
2021,"GAP needs one global app, like Amazon, where you can change countries in-app."
2022,easy to use and check updated rewards!
2022,"Horrible Update. You can't add anything to your shopping bag. What a waste,if GAP wants to keep earnings up they may want to reconsider their mobile app."
2021,No longer able to access the Gap Factory. .. what was the reason for that? Please add it back
2021,"my favorite store ! good quality clothing ,always new styles and affordable !"
2021,They got rid of DD bras completely with the new lineup. Never shopping here again
2022,Easy app to navigate and easy to shop
2023,Love gap quality and designs!!!
2022,Worst app ever. Doesnt work in android. You cant login
2023,best leggings for working out
2021,I have been Loving Gap for many many years. i will continue for many more years to come.?
2022,very easy app to use. Way better than the website.
2021,"Updated the app as prompted, aaand nothing works."
2021,"I love gap great quality clothing, could restock some popular items more"
2022,I can't sign in and I lost all my stuff in the shopping cart!!!!
2022,easy to use app. comfortable fit.
2023,Such a stupid app. How can a company at this calibar be fine with such a useless app.
2022,"Gap, clothes is the best,everything I like went not fist to you children you can't past over and over to another children's .owe look like new.iris"
2021,Love Gap for myself and my grandsons! Always the best quality ??
2023,presents baby girl items great always willing to help
2021,Why does the app redirect for a credit card application when I try to check my card balance through the app??
2023,it always takes me back to the top when I finish looking at shirt or pant
